"","start","end","survey_type","survey_id","survey_version","country","community","sex","gear_handline","gear_spear","gear_traps","gear_gill_net","gear_mobile_net","gear_stationary_line","gear_other","other_gear","tech_smartphone","tech_maps","tech_socialmedia","tech_other","tech_no_tech","other_tech","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_vesseltrack","fishtech_gps","fishtech_other","fishtech_none","other_fishtech","text_vms","choice","package_nopackage","wtp_1","wtp_2","wtp_3","wtp_4","wtr_1","wtr_2","wtr_3","wtr_4","design_a","design_b","design_c","design_d","design_e","design_f","design_g","design_h","design_i","fraction_personal","fraction_neighbor","fraction_local_trade","fraction_export","fraction_other","other_fraction","mpa","rank_one","rank_two","rank_three","rank_four","age","years_fishing","education","other_education","income","income_fishing","income_expenses"
"47",2019-07-03 04:19:49,2019-07-03 04:32:20,"D",3025,15,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,0,,,,,"n","n","n","n",0,0,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","iuu","pollution","corruption",48,1,"no_formal",,2500000,100,10
"48",2019-07-03 04:35:52,2019-07-03 04:54:29,"D",3026,15,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"y","y","n",,,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",35,20,"primary",,2e+06,100,10
"49",2019-07-03 04:55:42,2019-07-03 05:07:53,"D",3027,12,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,1,0,0,1,1,0,0,"GPS, fish finder",,1,1,"y","y","n",,,,,,0,1,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",40,25,"primary",,3e+06,100,10
"50",2019-07-03 06:37:21,2019-07-03 06:48:43,"D",3028,12,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,0,,,,,"y",,,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",54,20,"primary",,2500000,100,10
"51",2019-07-03 06:49:04,2019-07-03 07:17:17,"D",3029,16,"IND","MAK","M",0,0,1,0,0,0,0,,1,1,0,0,0,,0,0,0,0,1,1,0,0,"GPS garmin 60",,1,1,"y","y","n",,,,,,0,1,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","iuu","pollution","corruption",35,22,"primary",,3e+06,100,10
"52",2019-07-03 07:22:38,2019-07-03 07:43:16,"D",3030,1,"IND","MAK","M",0,0,1,0,0,0,0,,0,1,0,0,0,,0,0,0,0,1,1,1,0,"GPS garmin, Kompas",,2,1,"y","y","n",,,,,,0,0,0,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","iuu","pollution","corruption",35,6,"primary",,6e+06,100,10
"53",2019-07-03 07:44:53,2019-07-03 07:54:36,"D",3031,13,"IND","MAK","M",0,0,1,0,0,0,0,,1,1,0,0,0,,0,0,0,0,1,1,1,0,"GPS garmin 60, Echosounder",,2,1,"y","y","n",,,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","iuu","pollution","corruption",29,4,"primary",,2e+06,100,10
"54",2019-07-03 08:00:26,2019-07-03 08:14:23,"D",3032,12,"IND","MAK","M",0,0,1,0,0,0,0,,1,1,0,0,0,,0,0,0,0,1,1,0,0,"GPS garmin 10",,1,1,"y","y","y","n",,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","iuu","weather","pollution","corruption",37,20,"primary",,8e+06,100,10
"55",2019-07-04 03:23:16,2019-07-04 03:41:35,"D",3033,1,"IND","MAK","M",0,0,1,0,0,0,0,,1,1,0,0,0,,0,0,0,0,1,1,0,0,"GPS garmin 10",,2,1,"y","y","n",,,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","iuu","weather","pollution","corruption",48,35,"primary",,2e+07,100,40
"56",2019-07-04 03:42:07,2019-07-04 04:05:14,"D",3034,2,"IND","MAK","M",0,0,0,0,1,0,0,"Liftnet (Jaring angkat)",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,0,,,,,"n","n","n","n",0,1,1,0,0,0,0,0,0,0,0,100,0,0,,"n","pollution","weather","iuu","corruption",39,25,"primary",,3e+06,100,10
